"Payee","Amount","Date","Description","Directorate"
"West Lothian Council Economic Development",62175.88,"04-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"East Dunbartonshire Council",79300,"04-05-2010","Mortgage to Rent Cap. Grt LA's","Housing & Regeneration"
"Historic Scotland",2000000,"04-05-2010","Cash Funding to Non SEAS Agencies","Permanent Secretary"
"Glasgow Southwest Regeneration Agency",34717.88,"04-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Glasgow Southwest Regeneration Agency",45318.64,"04-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Phoenix Chemicals Limited",175000,"04-05-2010","Regional Selective Assistance Grant Instalment","Business, Enterprise and Energy"
"Scottish Union of Supported Employment",54873.97,"04-05-2010","Second Grant instalment Supported Employment Framework, SUSE","Lifelong Learning"
"Glasgow City Council",447184,"04-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"Fife Council",328064,"04-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"City of Edinburgh Council",296362,"04-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"North Ayrshire Council",76625,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"East Lothian Council",50190,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"South Lanarkshire Community Safety Partnership",187505,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"North Lanarkshire Council",167680,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"East Dunbartonshire Council",54070,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"East Dunbartonshire Council",50530,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"East Renfrewshire Council",57120,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Falkirk Council",63650,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Perth and Kinross Council",72345,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"City of Edinburgh Council",161250,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"West Dunbartonshire Council",53720,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Scottish Borders Council",37795,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Moray Council",62290,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"West Lothian Council",87070,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Stirling Council",31710,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"East Ayrshire Council",70655,"04-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"CalMac Ferries Limited",1088810,"04-05-2010","CalMac Deficit Grant","Transport Directorate"
"Cowal Ferries Limited",326000,"04-05-2010","Cowal Ferry Services","Transport Directorate"
"Northlink Ferries Limited",831625.97,"04-05-2010","Northlink Ferries","Transport Directorate"
"Northlink Ferries Limited",2692844,"04-05-2010","Northlink Ferries","Transport Directorate"
"CalMac Ferries Limited",2167884,"04-05-2010","RET (Road Equivalent Tariff)","Transport Directorate"
"Greater Glasgow Health Board",150000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Lanarkshire NHS Board",57448000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"NHS Health Scotland",2500000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Dumfries and Galloway Health Board",17000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"National Waiting Times, The",5000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Scottish Ambulance Service",18000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Forth Valley NHS Board",32500000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Shetland Health Board",3146000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"State Hospitals Board of Scotland",4750000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Borders Health Board",11000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"NHS National Services Scotland",30000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"NHS Quality Improvement Scotland",1730000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Western Isles NHS Board",4800000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"NHS Education for Scotland",34000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"NHS 24",4550000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Lothian NHS Board",82000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Fife Health Board (NHS)",38000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Tayside Health Board",46000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Highland Health Board",42000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Grampian NHS Board",52000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Ayrshire & Arran Health Board",42000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Orkney NHS Board",3000000,"04-05-2010","Cash Advances To Health Boards","Health Finance"
"Glasgow City Council",45175,"04-05-2010","National Demonstrations Projects","Public Health and Health Improvement"
"East Lothian Council",100000,"04-05-2010","National Demonstrations Projects","Public Health and Health Improvement"
"Scottish Prison Service",36400000,"04-05-2010","Cash Funding to Non SEAS Agencies","Justice & Communities"
"South Ayrshire Council",3971115,"04-05-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"04-05-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"04-05-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"04-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"04-05-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",8358354,"04-05-2010","General Revenue Grant","Public Service Reform"
"City of Edinburgh Council",14706577,"04-05-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"04-05-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"04-05-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"04-05-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"04-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"04-05-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"04-05-2010","General Revenue Grant","Public Service Reform"
"Midlothian Council",2977596,"04-05-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"04-05-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"04-05-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"04-05-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"04-05-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"04-05-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"04-05-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"04-05-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"04-05-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"04-05-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"04-05-2010","General Revenue Grant","Public Service Reform"
"North Ayrshire Council",5309865,"04-05-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"04-05-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"04-05-2010","General Revenue Grant","Public Service Reform"
"Glasgow City Council",26009250,"04-05-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"04-05-2010","General Revenue Grant","Public Service Reform"
"Dundee City Council",5812577,"04-05-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"04-05-2010","General Revenue Grant","Public Service Reform"
"Clackmannanshire Council",1867538,"04-05-2010","General Revenue Grant","Public Service Reform"
"Scottish Natural Heritage",40000,"05-05-2010","Projects - Royal Highland Show 2010","Rural Payments & Inspections Directorate"
"Aberdeen City Council",448159,"05-05-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"British Gas Trading Limited t/a British Gas Business",99954.9,"05-05-2010","EAP-Management Fees","Housing & Regeneration"
"Argyll Community Housing Association",121848.66,"05-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Ochil View Housing Association Limited",181365,"05-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Servite Housing Association",87267.36,"05-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Hillcrest Housing Association Limited",848550.4,"05-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Link Group Limited",542378.2,"05-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Margaret Blackwood Housing Association Limited,The",69396.83,"05-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Hillcrest Housing Association Limited",128059.51,"05-05-2010","Affordable Housing Grant","Housing & Regeneration"
"National Galleries Of Scotland",325175,"05-05-2010","Monthly grant for additions to collections","Culture, External Affairs and Tourism"
"National Galleries Of Scotland",1090000,"05-05-2010","Monthly grant for additions to collections","Culture, External Affairs and Tourism"
"National Galleries Of Scotland",1043750,"05-05-2010","Running Costs","Culture, External Affairs and Tourism"
"Flexitricity Limited",56182,"05-05-2010","Smart: Scotland Grant Instalment","Business, Enterprise and Energy"
"Angus Council",42120,"05-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Glasgow City Council",280020,"05-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Argyll and Bute Council",75555,"05-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Aberdeenshire Council",68530,"05-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Dumfries and Galloway Council",85000,"05-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Boswell Mitchell & Johnston",41947.5,"05-05-2010","Crime Campus project","Police & Community Safety"
"West Lothian Council",50620,"05-05-2010","Strategic Co-ord Group Posts","Police & Community Safety"
"J & M Turner",29605.5,"05-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Improvement Districts Scotland Limited",62000,"05-05-2010","Business Improvement Districts","Public Service Reform"
"Midlothian Voluntary Action",47183,"05-05-2010","Localism - funding which supports the third sector","Public Service Reform"
"Argyll Voluntary Action",74476,"05-05-2010","Localism - funding which supports the third sector","Public Service Reform"
"Voluntary Action East Renfrewshire",43787,"05-05-2010","Localism - funding which supports the third sector","Public Service Reform"
"First Port",44500,"05-05-2010","Third Sector Business Support","Public Service Reform"
"First Port",140000,"05-05-2010","Payroll Charges","Public Service Reform"
"W W Kerr & sons",40604,"06-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"Directflight Limited",136447.88,"06-05-2010","Aerial Surveillance","Marine Scotland Directorate"
"Dumfries & Galloway Housing Partnership",75370.43,"06-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Arklet Housing Association Limited",42763.12,"06-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Personalised Business Marketing Limited",81075,"06-05-2010","Scottish Road Safety Strategy","Transport Directorate"
"Lothian NHS Board",26514.83,"06-05-2010","Sexual Health Strategy","Public Health and Health Improvement"
"National Policing Improvement Agency (NPIA)",5353300,"06-05-2010","Airwave Scottish Core Costs","Police & Community Safety"
"National Policing Improvement Agency (NPIA)",503752.76,"06-05-2010","IDENT1 (Fingerprint Identification)","Police & Community Safety"
"Home Office",36000,"06-05-2010","Community Disclosure Pilot","Police & Community Safety"
"Lothian & Borders Police",99132.95,"06-05-2010","Police Pensions","Police & Community Safety"
"Logica UK Limited",27433.9,"06-05-2010","ICT S/W (ex licen) additions","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",85051.54,"06-05-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"National School of Government",128640,"06-05-2010","Dev & Corporate Training Fees","Human Resources & Corporate Services"
"RR Donnelly Global Document Solutions formerly Astron",39538.33,"06-05-2010","Scotland's International Image","Culture, External Affairs and Tourism"
"MediaCom",36366.81,"06-05-2010","Social Advertising - Zero Waste","Communications Directorate"
"MediaCom",43357.65,"06-05-2010","Social Advertising - Zero Waste","Communications Directorate"
"MediaCom",32225.98,"06-05-2010","Social Advertising - Zero Waste","Communications Directorate"
"Gillespie MacAndrew",70000,"06-05-2010","Royal and Ceremonial","Constitution Directorate"
"ESP Systex Limited",27688.36,"06-05-2010","Customer First Programme","Public Service Reform"
"Moredun Research Institute",25314,"07-05-2010","C of E/EHH Payments","Rural & Environmental Research & Analysis"
"Scottish Agricultural College",254000,"07-05-2010","Public Good Advice","Rural Directorate"
"Scottish Agricultural College",343000,"07-05-2010","Veterinary Surveillance Expenditure","Rural Directorate"
"Moredun Research Institute",635000,"07-05-2010","Veterinary Surveillance Expenditure","Rural Directorate"
"Hjaltland Housing Association Limited",47257.28,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Hjaltland Housing Association Limited",275249.38,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Link Group Limited",220686.66,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Dumfries & Galloway Housing Partnership",78083.72,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Fife Housing Association Limited",125519.16,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Fife Housing Association Limited",88729.67,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Kingdom Housing Association limited",171252.98,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Eildon Housing Association",143464.67,"07-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Sportscotland",84598,"07-05-2010","Grant In Aid","Equality, Social Inclusion and Sport"
"Sportscotland",5475061,"07-05-2010","Grant In Aid","Equality, Social Inclusion and Sport"
"National Museums Of Scotland",1610000,"07-05-2010","Major Projects","Culture, External Affairs and Tourism"
"National Museums Of Scotland",177000,"07-05-2010","Monthly grant for additions to collections","Culture, External Affairs and Tourism"
"National Museums Of Scotland",1847000,"07-05-2010","Running Costs","Culture, External Affairs and Tourism"
"National Theatre of Scotland",500000,"07-05-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"Royal Scottish National Orchestra",400000,"07-05-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"Scottish Ballet",600000,"07-05-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"Scottish Opera Theatre Royal",360000,"07-05-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"Scottish Police Services Authority (SPSA)",104284.69,"07-05-2010","PVG Act Implementation","Children, Young People and Social Care"
"Family Fund Trust",940000,"07-05-2010","Supporting Families with Disabled Children","Children, Young People and Social Care"
"Angus Council",50000,"07-05-2010","Workforce Development","Children, Young People and Social Care"
"Aberdeenshire Council",50000,"07-05-2010","Workforce Development","Children, Young People and Social Care"
"Jordanhill School",483951,"07-05-2010","Jordanhill Current","Learning Directorate"
"University Of Glasgow",31527.13,"07-05-2010","SEEKIT - Knowledge Exchange Programme","Business, Enterprise and Energy"
"University Of Edinburgh",35002,"07-05-2010","SEEKIT - Knowledge Exchange Programme","Business, Enterprise and Energy"
"Dundee City Council",119121,"07-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"Eddie Stobart Limited",37510,"07-05-2010","Freight Grants - Resource","Transport Directorate"
"University Of Stirling",49915.61,"07-05-2010","Nurse Education & Training","Chief Nursing Officer"
"University Of Stirling",37276,"07-05-2010","Improve Mental Health Services","Primary & Community Care"
"Scottish Legal Aid Board",2401000,"07-05-2010","Legal Aid Fund","Justice Directorate"
"EZ Property Syndicate",25296.87,"07-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Scottish Water Business Stream",41091.28,"07-05-2010","Fuel & UtiIities","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",77159.37,"07-05-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"BT Plc",77340.89,"07-05-2010","Telephone Call Charges","Human Resources & Corporate Services"
"Moredun Research Institute",76443.64,"10-05-2010","Employers Contributions","Rural & Environmental Research & Analysis"
"Scottish Crop Research Institute",165399.94,"10-05-2010","Employers Contributions","Rural & Environmental Research & Analysis"
"Keep Scotland Beautiful",98056.35,"10-05-2010","Zero Waste Fund","Environmental Quality"
"Keep Scotland Beautiful",254953.31,"10-05-2010","Zero Waste Fund","Environmental Quality"
"ASCO UK Limited",54192.97,"10-05-2010","MS Science FRV Fuel/Lubricate*","Marine Scotland Directorate"
"British Gas Trading Limited t/a British Gas Business",567260.5,"10-05-2010","EAP-Managing Agent","Housing & Regeneration"
"Glasgow Womens Aid",88352.95,"10-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Angus Women's Aid",29257.25,"10-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Dundee Womens Aid",35146.25,"10-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Glasgow East Women's Aid",32267.25,"10-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Lochaber Housing Association Limited",83489.39,"10-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cairn Housing Association Limited",151947.92,"10-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cairn Housing Association Limited",25579.88,"10-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Scottish Social Services Council",545141,"10-05-2010","Scottish Social Services Council Resource","Children, Young People and Social Care"
"Kibble Education and Care Centre",28094.39,"10-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"University Of Glasgow",53924.43,"10-05-2010","SEEKIT - Knowledge Exchange Programme","Business, Enterprise and Energy"
"Robert Gordon University, The",35120.61,"10-05-2010","SEEKIT - Knowledge Exchange Programme","Business, Enterprise and Energy"
"University Of Strathclyde",29362.97,"10-05-2010","SEEKIT - Knowledge Exchange Programme","Business, Enterprise and Energy"
"East Lothian Council",33333.33,"10-05-2010","Electricity Statutory Consents","Business, Enterprise and Energy"
"SFX Technologies Limited",35000,"10-05-2010","Smart: Scotland Grant Instalment","Business, Enterprise and Energy"
"Stirling Council",89821,"10-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"East Dunbartonshire Council",111916,"10-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"Aberdeenshire Council",282432,"10-05-2010","Funding to support enterprise in education - local delivery","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",803000,"10-05-2010","Scottish Funding Council Administration","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",6300000,"10-05-2010","Scottish Funding Council - FE Capital","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",3500000,"10-05-2010","Scottish Funding Council - HE Capital","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",42600000,"10-05-2010","Scottish Funding Council - FE Programme","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",103300000,"10-05-2010","Scottish Funding Council - HE Programme","Lifelong Learning"
"British Lung Foundation",100000,"10-05-2010","Self Care - Breathe Easy peer support group","Healthcare Policy and Strategy"
"British Lung Foundation",50000,"10-05-2010","Self Care - Chronic Obstructive Pulmonary Disease awareness raising programme","Healthcare Policy and Strategy"
"Pain Association Scotland",30000,"10-05-2010","Self Care - Self Management Prog for chronic pain 2009-10","Healthcare Policy and Strategy"
"Robert Gordon University, The",145638,"10-05-2010","Challenging Obesity","Public Health and Health Improvement"
"Robert Gordon University, The",174708,"10-05-2010","Challenging Obesity","Public Health and Health Improvement"
"Ministry of Justice",664851.64,"10-05-2010","Judiciary Accrued Superannuation Liability Charges","Justice Directorate"
"Association Chief Police Officers Scotland",78540,"10-05-2010","Assoc. of Chief Police Officers in Scotland","Police & Community Safety"
"Scottish Police Services Authority (SPSA)",76283.18,"10-05-2010","Consultancy - provision of IT services","Police & Community Safety"
"Tearfund",142000,"10-05-2010","International Development","Culture, External Affairs and Tourism"
"Network of International Development Organisations in Scotland (NIDOS)",72102,"10-05-2010","International Development","Culture, External Affairs and Tourism"
"Macaulay Land Use Research Institute",173187,"10-05-2010","International Development","Culture, External Affairs and Tourism"
"Waverley Care Trust",135000,"10-05-2010","International Development","Culture, External Affairs and Tourism"
"Scottish Crop Research Institute",91891,"10-05-2010","International Development","Culture, External Affairs and Tourism"
"Imani Enterprise Limited",115000,"10-05-2010","International Development","Culture, External Affairs and Tourism"
"Christian Aid Scotland",134550,"10-05-2010","International Development","Culture, External Affairs and Tourism"
"Aberdeen Council of Voluntary Organisations",55981,"10-05-2010","Localism - funding which supports the third sector","Public Service Reform"
"East Dunbartonshire Council",59564.31,"11-05-2010","Air Quality Cap Grant to LA","Environmental Quality"
"Scottish Council For Voluntary Organisations (SCVO)",73750,"11-05-2010","SCVO- Capacity Building","Rural Directorate"
"G & T Fitzsimon & sons",35889,"11-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"R & W Dalgarno",161907.1,"11-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"W.O.Gordon Bindal & CO",64237.46,"11-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"J W Norrie",61058.4,"11-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"P A Chamberlain & CO.",35354,"11-05-2010","Scottish Rural Development Programme","Rural Payments & Inspections Directorate"
"Archipelago Marine",257653.06,"11-05-2010","Installation of on-board Remote Electronic Monitoring Systems","Marine Scotland Directorate"
"Seagull BF74",35791.12,"11-05-2010","MS Science FRV Charter Costs*","Marine Scotland Directorate"
"Caley Fisheries Limited",38961.29,"11-05-2010","MS Science FRV Charter Costs*","Marine Scotland Directorate"
"Siemens Enterprise Communications Limited",32991.65,"11-05-2010","It Systems/Equipment","Marine Scotland Directorate"
"British Gas Trading Limited t/a British Gas Business",448954.23,"11-05-2010","EAP-Managing Agent","Housing & Regeneration"
"East Renfrewshire Council",47719.26,"11-05-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Falkirk Council",217600,"11-05-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Argyll Community Housing Association",26770.53,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Glasgow Housing Association Limited",633314.66,"11-05-2010","GHA Dem'lition costs - Cap Gts to Priv Sect","Housing & Regeneration"
"Eildon Housing Association",127514.75,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Rural Stirling Housing Association limited",89122.58,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Trust Housing Association Limited",93821.48,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Kingdom Housing Association limited",218167.75,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Forth H A Limited",210888.16,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"East Lothian H A Limited",95829.33,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Link Group Limited",69063,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Castle Rock Edinvar HA",118842.61,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Castle Rock Edinvar HA",85160,"11-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Gaelic Media Service",1500000,"11-05-2010","Gaelic Broadcasting","Culture, External Affairs and Tourism"
"North Lanarkshire Council",270000,"11-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"City of Edinburgh Council",290000,"11-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"North Lanarkshire Council",50000,"11-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Aberdeenshire Council",30000,"11-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Scottish National Council of YMCAs",34656,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Scottish Youth Parliament",125000,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"LGBT Youth Scotland",34594,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Scottish Association of Young Farmers' Clubs (SAYFC)",33000,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Fairbridge Training",27090,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"YWCA Scotland",28973,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Community Service Volunteers (CSV)",40550,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Fast Forward",74550,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"The Caledonian Award",26287,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Scottish Outdoor Education Centres",35196,"11-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"North Ayrshire Council",35281.47,"11-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Inland Revenue",159742.61,"11-05-2010","Social Security - Fee Paid Staff","Justice Directorate"
