"Payee","Amount","Date","Description","Directorate"
"River Clyde Homes",36500,"01-04-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"River Clyde Homes",1060062.84,"01-04-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"Glasgow Housing Association Limited",21025000,"01-04-2010","GHA Repayable Grant (cap grt to PS)","Housing & Regeneration"
"Abbeyfieldscotland",36225.51,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dunedin Canmore Housing Association Limited",43610.72,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"East Lothian H A Limited",218478.36,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Almond Housing Association Limited",874125.57,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Melville Housing Assoc Limited",327792.68,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Home In Scotland Limited",446078,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Trust Housing Association Limited",64419,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hillcrest Housing Association Limited",90288,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",203706.65,"01-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",59620.73,"01-04-2010","Building works","Human Resources & Corporate Services"
"The Commercial Law Practice LLP",105099.46,"01-04-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",57369.38,"01-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",69025.81,"01-04-2010","Building works","Human Resources & Corporate Services"
"Sodexo Limited",36678.82,"01-04-2010","Outsourced Services e.g. Catering, Cleaning, etc.","Human Resources & Corporate Services"
"A & O Systems & Services UK Limited",61602.9,"01-04-2010","Telecommunications","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",56661.37,"01-04-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",88055.23,"01-04-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Scottish Prison Service",36400000,"01-04-2010","Cash Funding to Non SEAS Agencies","Justice & Communities"
"Scottish Legal Aid Board",4126000,"01-04-2010","Legal Aid Fund","Justice Directorate"
"Scottish Criminal Cases Review Commission (SCCRC)",312420,"01-04-2010","Miscarriages of Justice Org. - grant in aid","Justice Directorate"
"Ministry of Justice",676996.27,"01-04-2010","Judiciary Accrued Superannuation Liability Charges","Justice Directorate"
"Student Loans Company Limited",18463448,"01-04-2010","Student Loan Advances","Lifelong Learning"
"South Lanarkshire Council",350173,"01-04-2010","DtS: Local Government","Lifelong Learning"
"Rossyew Limited",129570,"01-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Historic Scotland",7000000,"01-04-2010","Cash Funding to Non SEAS Agencies","Permanent Secretary"
"Scottish Police Services Authority (SPSA)",12000000,"01-04-2010","CPS Review","Police & Community Safety"
"Boswell Mitchell & Johnston",79453.96,"01-04-2010","Crime Campus project","Police & Community Safety"
"University Of Glasgow",370000,"01-04-2010","Oral Health Measures","Primary & Community Care"
"MESSRS ELLIOT (BALNAKEIL)",44762.27,"01-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"ECKFORD FARMING LTD",28435.55,"01-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"MORAY ESTATES DEVELOPMENT CO.",32989.09,"01-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Scottish Qualifications Authority (SQA)",800000,"01-04-2010","Core grant-in-aid for NDPB","Learning Directorate"
"Scottish Qualifications Authority (SQA)",4000000,"01-04-2010","Core grant-in-aid for NDPB","Learning Directorate"
"Napier University",28659.92,"06-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Maryhill Burgh Halls Trust",62660.77,"06-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Glasgow Southwest Regeneration Agency",76764.46,"06-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Visit Scotland",192517.96,"06-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Response Handling Limited",525000,"06-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"British Telecommunications Plc",195966.5,"06-04-2010","PVG Act Implementation","Children, Young People and Social Care"
"British Telecommunications Plc",347671.92,"06-04-2010","PVG Act Implementation","Children, Young People and Social Care"
"Glasgow City Council",55772,"06-04-2010","Children's Rights","Children, Young People and Social Care"
"Who Cares? Scotland",50000,"06-04-2010","Improving outcomes for LAC","Children, Young People and Social Care"
"BAAF Registered Charity",36122.31,"06-04-2010","Kinship Care and Fostering","Children, Young People and Social Care"
"MediaCom",29584.78,"06-04-2010","Social Advertising - Science","Communications Directorate"
"MediaCom",46436.91,"06-04-2010","Social Advertising - Go Greener","Communications Directorate"
"RR Donnelley Global Document Solutions formerly Astron",30843.75,"06-04-2010","SG contribution to NHSScotland 2010 eveDG","Co-ordination - Health"
"University Of Glasgow",25686.06,"06-04-2010","Research","Education Information & Analytical Services"
"University Of Glasgow",169840,"06-04-2010","Lifelong Learning Research","Education Information & Analytical Services"
"Dumfries & Galloway Council Commercial Services",223128.63,"06-04-2010","Private Water","Environmental Quality"
"South Lanarkshire Council",70000,"06-04-2010","Noise & Air Quality Action","Environmental Quality"
"Dumfries and Galloway Council",37240,"06-04-2010","Noise & Air Quality Action","Environmental Quality"
"NHS National Services Scotland",26724.12,"06-04-2010","Current Gts","Greener Scotland Directorate"
"Macaulay Land Use Research Institute",61034.62,"06-04-2010","Current Gts","Greener Scotland Directorate"
"PriceWaterhouseCoopers",58032.08,"06-04-2010","National Patient Experience programme","Healthcare Policy and Strategy"
"Dunedin Canmore Housing Association Limited",40000,"06-04-2010","Wider Role Support for RSL's - Curr Gts to Priv Sect","Housing & Regeneration"
"Aberdeenshire Council",161658,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Argyll and Bute Council",300000,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"PARC Craigmillar",1740368,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Linked Work and Training Trust Central",79460.89,"06-04-2010","Miscellaneous Curr Gts to Priv Sect","Housing & Regeneration"
"Argyll and Bute Council",300000,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Dundee City Council",1443367,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Orkney Islands Council",381322,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"East Dunbartonshire Council",356361,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Perth and Kinross Council",750000,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Glasgow City Council",913000,"06-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Midlothian Council",316000,"06-04-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Clyde Valley Housing Association",124320,"06-04-2010","Warm Deal- Cap Grts to RSL's","Housing & Regeneration"
"Albyn H S Limited",29702,"06-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Albyn H S Limited",39802,"06-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Grampian Housing Association Limited",372299.56,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",257408.37,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Castlehill H A Limited",116171.37,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",85802.8,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",28000,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",287000,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Grampian Housing Association Limited",374700.44,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Shire Housing Association Limited",29321.72,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Lanarkshire Housing Assoc Limited",235000,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",102051.91,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Rutherglen & Cambuslang H A",27929,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dumfries & Galloway Housing Partnership",320000,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Oak Tree Housing Association Limited",28488.02,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cube Housing Association Limited",122000,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Loretto Housing Association Limited",150033.41,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Castle Rock Edinvar HA",53061,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Glasgow Housing Association Limited",1019758.03,"06-04-2010","GHA Reprovisioning Cap Gts to Priv Sect","Housing & Regeneration"
"Southside Housing Association Limited",35251.79,"06-04-2010","NHP Debt Serv. Rev Grt to PS","Housing & Regeneration"
"Hillhead Housing Association",199023.15,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Castle Rock Edinvar HA",147840,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Castle Rock Edinvar HA",49745.6,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Berwickshire Housing Association limited",104770,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Melville Housing Assoc Limited",90681.14,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Melville Housing Assoc Limited",220293.17,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dunedin Canmore Housing Association Limited",68493,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Castle Rock Edinvar HA",27470.33,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Berwickshire Housing Association limited",102018,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Almond Housing Association Limited",76431.92,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Perthshire Housing Association Limited",37959,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Ochil View Housing Association Limited",100636.42,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hillcrest Housing Association Limited",38893.85,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Home In Scotland Limited",432632,"06-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",376278.96,"06-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",899932.5,"06-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",42580.59,"06-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",81492.95,"06-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",163625.8,"06-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",57557.75,"06-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",55078.84,"06-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",33721.49,"06-04-2010","Building works","Human Resources & Corporate Services"
"Dell Computer Corporation Limited",214233.52,"06-04-2010","It H/Ware Additions","Human Resources & Corporate Services"
"A & O Systems & Services UK Limited",108711,"06-04-2010","Telecommunications","Human Resources & Corporate Services"
"Ultra Electronics CCS Limited",47000,"06-04-2010","ICT S/W LICENCE additions","Human Resources & Corporate Services"
"TrustMarque Solutions Limited",61856.99,"06-04-2010","ICT S/W LICENCE additions","Human Resources & Corporate Services"
"Computacenter United Kingdom Limited",75589.63,"06-04-2010","Telecommunications","Human Resources & Corporate Services"
"Baronscourt Technology Limited",85282.68,"06-04-2010","ICT S/W LICENCE additions","Human Resources & Corporate Services"
"A & O Systems & Services UK Limited",108711,"06-04-2010","Telecommunications","Human Resources & Corporate Services"
"Siemens Enterprise Communications Limited",42770,"06-04-2010","Telecommunications","Human Resources & Corporate Services"
"Specialist Computer Centres plc",273892.5,"06-04-2010","Telecommunications","Human Resources & Corporate Services"
"Cable and Wireless Communications",168207.91,"06-04-2010","Telecommunications","Human Resources & Corporate Services"
"Logica UK Limited",30195.56,"06-04-2010","Payroll Charges","Human Resources & Corporate Services"
"Scottish Legal Aid Board",1651000,"06-04-2010","Legal Aid Fund","Justice Directorate"
"Scottish Legal Aid Board",32148.84,"06-04-2010","Integration of Scottish Criminal Justice Information Systems","Justice Directorate"
"East Renfrewshire Council",27815,"06-04-2010","Young people who need More Choices More Chances","Lifelong Learning"
"Renfrewshire Council",453652,"06-04-2010","DtS: Local Government","Lifelong Learning"
"Department for Communities & Local Government (DCLG)",338293.2,"06-04-2010","Firelink Revenue","Police & Community Safety"
"Department for Communities & Local Government (DCLG)",317982.12,"06-04-2010","Firelink Revenue","Police & Community Safety"
"Department for Communities & Local Government (DCLG)",316678.46,"06-04-2010","Firelink Revenue","Police & Community Safety"
"Department for Communities & Local Government (DCLG)",437483.86,"06-04-2010","Firelink Revenue","Police & Community Safety"
"Strathclyde Police",40000,"06-04-2010","Police Special Grants","Police & Community Safety"
"Grampian Joint Police Board",61247.03,"06-04-2010","Police Special Grants","Police & Community Safety"
"Strathclyde Police",30097.63,"06-04-2010","Community Safety Unit","Police & Community Safety"
"NHS National Services Scotland",52291.58,"06-04-2010","Departmental Dental Expenditure","Primary & Community Care"
"Glasgow City Council",26009250,"06-04-2010","General Revenue Grant","Public Service Reform"
"Midlothian Council",2977596,"06-04-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"06-04-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"06-04-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"06-04-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",6354000,"06-04-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"06-04-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"06-04-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"06-04-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"06-04-2010","General Revenue Grant","Public Service Reform"
"City of Edinburgh Council",14706577,"06-04-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"06-04-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"06-04-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"06-04-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"06-04-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"06-04-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"06-04-2010","General Revenue Grant","Public Service Reform"
"Dundee City Council",5812577,"06-04-2010","General Revenue Grant","Public Service Reform"
"Clackmannanshire Council",1867538,"06-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"06-04-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"06-04-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"06-04-2010","General Revenue Grant","Public Service Reform"
"North Ayrshire Council",5309865,"06-04-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"06-04-2010","General Revenue Grant","Public Service Reform"
"South Ayrshire Council",3971115,"06-04-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"06-04-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"06-04-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"06-04-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"06-04-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"06-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"06-04-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"06-04-2010","General Revenue Grant","Public Service Reform"
"NHS National Services Scotland",45968.35,"06-04-2010","eCare 2009-10","Public Service Reform"
"Improvement Service",510792,"06-04-2010","Efficiency and Transformational Technologies - Operating","Public Service Reform"
"NHS National Services Scotland",45968.35,"06-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"Health in Mind",44750,"06-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"Royston Stress Centre",27148.66,"06-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"Here We Are Cairndow",28132.15,"06-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"Scottish Sculpture Workshop",31077,"06-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"Edinburgh Business Development",36152.98,"06-04-2010","Third Sector Business Support","Public Service Reform"
"Forth Sector",31681.22,"06-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"XMA Limited",29583.72,"06-04-2010","It H/Ware Additions","Rural Payments & Inspections Directorate"
"XMA Limited",29171.24,"06-04-2010","It H/Ware Additions","Rural Payments & Inspections Directorate"
"Scottish Further Education Unit (SFEU)",52631.65,"06-04-2010","Quarterly contractual payment for running events in Further Education sector to support Curriculum for Excellence.","Learning Directorate"
"RM Education plc",489583.73,"06-04-2010","Contractual monthly service charge for Glow (national learning platform).","Learning Directorate"
"Capgemini UK Plc",1175000,"06-04-2010","Project Support Services","Scottish Procurement Directorate"
"Northlink Ferries Limited",831625.97,"06-04-2010","Northlink Ferries","Transport Directorate"
"CalMac Ferries Limited",3045884,"06-04-2010","RET (Road Equivalent Tariff)","Transport Directorate"
"Northlink Ferries Limited",3286032,"06-04-2010","Northlink Ferries","Transport Directorate"
"Cowal Ferries Limited",293000,"06-04-2010","Cowal Ferry Services","Transport Directorate"
"CalMac Ferries Limited",1088810,"06-04-2010","CalMac Deficit Grant","Transport Directorate"
"Scottish Enterprise",4911357.13,"07-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Shetland Arts Development Agency",144741.66,"07-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"Scottish Enterprise",1333333.33,"07-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"NHS Greater Glasgow and Clyde",45000,"07-04-2010","Biomedical & Therapeutic Resch","Chief Medical Officer"
"British Telecommunications Plc",291262.52,"07-04-2010","PVG Act Implementation","Children, Young People and Social Care"
"British Telecommunications Plc",46213.92,"07-04-2010","PVG Act Implementation","Children, Young People and Social Care"
"Children In Scotland",97670,"07-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Counselling & Family Mediation Scotland",230137.5,"07-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Counselling & Family Mediation Scotland",169233.75,"07-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Play Scotland",93000,"07-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Scottish Marriage Care Limited",47183,"07-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Homestart UK",27661,"07-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"One Parent Families Scotland",30500,"07-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"RR Donnelley Global Document Solutions formerly Astron",32449.7,"07-04-2010","Social Advertising - Hep C","Communications Directorate"
"Union Advertising Agency Limited, The",187632.23,"07-04-2010","Strategic Communications - Wellbeing","Communications Directorate"
"Newhaven Communications Ltd",31601.63,"07-04-2010","Social Advertising - Active Nation","Communications Directorate"
"Merle Limited",82250,"07-04-2010","Social Advertising - Race","Communications Directorate"
"Scottish Screen",184000,"07-04-2010","Scottish Arts Council","Culture, External Affairs and Tourism"
"Scottish Opera Theatre Royal",3040000,"07-04-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"Scottish Ballet",2300000,"07-04-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"Royal Scottish National Orchestra",400000,"07-04-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"National Theatre of Scotland",500000,"07-04-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"The Scottish Chamber Orchestra",675000,"07-04-2010","National Performing Co. (Current)","Culture, External Affairs and Tourism"
"Gaelic Media Service",850000,"07-04-2010","Gaelic Broadcasting","Culture, External Affairs and Tourism"
"Scottish Textile Industry Ltd",30000,"07-04-2010","Arts Research","Culture, External Affairs and Tourism"
"Aberdeenshire Council",656209.73,"07-04-2010","Private Water","Environmental Quality"
"North Ayrshire Council",38714.49,"07-04-2010","Private Water","Environmental Quality"
"Inverclyde Council",61436,"07-04-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Sportscotland",3544500,"07-04-2010","Monthly Cash Advance - Grant in Aid","Equality, Social Inclusion and Sport"
"Gate Worldwide Limited, The",25491.63,"07-04-2010","Sports Division programme","Equality, Social Inclusion and Sport"
"Sportscotland",55500,"07-04-2010","Capital","Equality, Social Inclusion and Sport"
"NHS Institute for Innovation & Improvement",182467.51,"07-04-2010","Planned Care Programme","Health Delivery"
"NHS Supply Chain",7994832.7,"07-04-2010","Pandemic Flu- Capital","Health Delivery"
"NHS Supply Chain",356247.31,"07-04-2010","Pandemic Flu","Health Delivery"
"NHS Supply Chain",68748.38,"07-04-2010","Pandemic Flu","Health Delivery"
"NHS Supply Chain",37484.38,"07-04-2010","Pandemic Flu","Health Delivery"
"NHS Supply Chain",3345866.5,"07-04-2010","Pandemic Flu","Health Delivery"
"NHS Supply Chain",470861.04,"07-04-2010","Pandemic Flu","Health Delivery"
"NHS Supply Chain",30702.75,"07-04-2010","Pandemic Flu","Health Delivery"
"NHS Supply Chain",2382573.59,"07-04-2010","Pandemic Flu","Health Delivery"
"NHS National Services Scotland",316072,"07-04-2010","Seconded Staff Costs","Health Finance"
"Leith Agency Limited, The",39950,"07-04-2010","Organ Donation Taskforce","Healthcare Policy and Strategy"
